Histo2d 
sCurve-0
Vcal
Occupancy
Number of pixels
61 -2.5 302.5
49 0.5 49.5
0 119558
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 1 2 1 4 5 7 2 4 2 7 8 18 24 21 37 55 87 117 218 465 686 733 864 571 101 24 11 10 4 6 2 1 4 6 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 3 2 3 1 5 5 2 2 2 6 6 10 8 18 22 17 43 78 95 181 390 661 786 873 681 135 28 19 11 7 8 5 10 4 5 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 0 2 0 0 2 0 1 3 3 3 2 1 4 4 3 5 5 14 13 22 28 58 75 162 300 592 809 875 691 156 49 11 8 10 8 10 9 6 3 
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 2 3 1 4 9 5 5 6 8 5 10 10 17 20 28 47 72 116 250 467 740 870 781 239 46 15 12 8 4 4 4 6 6 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 1 1 1 2 3 1 4 1 2 2 7 5 10 20 21 41 54 100 206 433 618 874 876 265 67 25 16 12 7 5 5 5 4 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1 3 0 1 2 3 3 4 5 3 7 3 6 7 15 17 19 35 45 84 161 347 623 876 962 326 71 24 16 10 4 6 7 12 7 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 4 5 2 2 2 2 4 2 4 11 10 6 8 12 23 29 46 69 125 271 567 867 1038 363 100 39 27 17 5 6 5 5 4 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 1 0 2 0 3 5 3 0 5 4 7 9 11 17 14 23 38 59 101 237 539 785 1051 469 145 37 17 15 9 9 4 3 6 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 2 1 1 0 1 0 1 1 2 4 3 3 3 7 12 12 12 19 27 40 73 173 416 731 1094 537 175 45 27 16 11 5 8 7 9 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 3 0 1 0 3 2 3 5 5 2 4 6 7 9 12 23 21 36 66 137 358 682 1111 601 252 77 29 25 21 12 8 10 8 
